epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,255.889,0.89197,1.64862,0.56424,0.5889,0.52999,0.52982,0.26903,0.39783,7.6507,0.23994,0.00332579,0.00332579,0.00332579
2,507.83,0.62861,0.70482,0.30654,0.63776,0.56179,0.59784,0.29263,0.40439,5.42704,0.224,0.00652727,0.00652727,0.00652727
3,755.908,0.72045,0.6379,0.3184,0.61514,0.52042,0.55159,0.27659,0.41388,4.72955,0.23211,0.00959676,0.00959676,0.00959676
4,1004.63,0.76226,0.62236,0.32722,0.57354,0.47272,0.50241,0.2401,0.40226,3.38172,0.20859,0.009406,0.009406,0.009406
5,1249.34,0.74766,0.60608,0.3181,0.61243,0.54856,0.5748,0.29222,0.37655,3.87503,0.20079,0.009208,0.009208,0.009208
6,1494.35,0.72973,0.59978,0.30998,0.69102,0.5435,0.59817,0.29359,0.41819,1.2266,0.21895,0.00901,0.00901,0.00901
7,1741.1,0.70697,0.59909,0.30081,0.67509,0.61036,0.67079,0.35161,0.3697,2.08552,0.20841,0.008812,0.008812,0.008812
8,1989.04,0.70186,0.59151,0.29588,0.71493,0.61221,0.68203,0.35195,0.3774,1.6061,0.21706,0.008614,0.008614,0.008614
9,2231.61,0.69192,0.5852,0.28949,0.69123,0.60991,0.66809,0.35017,0.3737,1.42572,0.21173,0.008416,0.008416,0.008416
10,2472.56,0.69208,0.57242,0.28695,0.72047,0.61796,0.68838,0.35711,0.37969,1.4468,0.2018,0.008218,0.008218,0.008218
11,2715.24,0.67473,0.57621,0.28148,0.71241,0.65211,0.71258,0.38601,0.35437,1.4663,0.19732,0.00802,0.00802,0.00802
12,2959.48,0.66799,0.56515,0.27885,0.70036,0.6279,0.69326,0.36393,0.37195,1.39666,0.20479,0.007822,0.007822,0.007822
13,3204.09,0.65066,0.56513,0.27713,0.72397,0.66225,0.71946,0.38832,0.36098,1.36888,0.20229,0.007624,0.007624,0.007624
14,3449.75,0.64103,0.56593,0.27155,0.73274,0.64665,0.71602,0.3798,0.37898,1.19203,0.20598,0.007426,0.007426,0.007426
15,3692.2,0.64894,0.56657,0.26709,0.70217,0.6406,0.69927,0.37691,0.36823,1.24573,0.20083,0.007228,0.007228,0.007228
16,3935.35,0.63894,0.56294,0.26385,0.73204,0.66836,0.73,0.39796,0.3528,1.0614,0.20028,0.00703,0.00703,0.00703
17,4181.54,0.61908,0.5537,0.25814,0.72844,0.64123,0.70576,0.38718,0.35424,1.12862,0.20475,0.006832,0.006832,0.006832
18,4426.29,0.61784,0.54873,0.25845,0.73589,0.66507,0.73248,0.40038,0.36334,0.98472,0.20615,0.006634,0.006634,0.006634
19,4673.41,0.60217,0.54997,0.25388,0.71502,0.66009,0.71597,0.38449,0.35275,1.0425,0.21047,0.006436,0.006436,0.006436
20,4920.16,0.59511,0.54762,0.25491,0.75526,0.68482,0.7616,0.42387,0.33921,0.94279,0.19515,0.006238,0.006238,0.006238
21,5167.18,0.59461,0.54357,0.24956,0.75086,0.66713,0.73762,0.4074,0.35662,1.19595,0.20293,0.00604,0.00604,0.00604
22,5414.79,0.58034,0.54608,0.24832,0.73955,0.69019,0.74907,0.42013,0.34643,0.92777,0.20463,0.005842,0.005842,0.005842
23,5664.36,0.57084,0.53618,0.24624,0.74155,0.72174,0.76033,0.42848,0.33273,1.0159,0.20663,0.005644,0.005644,0.005644
24,5909.53,0.56509,0.53171,0.23833,0.74552,0.70323,0.75782,0.42121,0.34672,1.02387,0.20779,0.005446,0.005446,0.005446
25,6156.73,0.5715,0.53095,0.2422,0.75969,0.69388,0.74757,0.41568,0.34417,0.96045,0.20931,0.005248,0.005248,0.005248
26,6399.39,0.54624,0.53061,0.23797,0.73028,0.71976,0.75457,0.42049,0.33861,0.97946,0.20751,0.00505,0.00505,0.00505
27,6644.35,0.55239,0.526,0.2346,0.74207,0.70979,0.76073,0.43065,0.33422,1.02581,0.20525,0.004852,0.004852,0.004852
28,6891.83,0.55011,0.52311,0.23203,0.74979,0.70576,0.75491,0.41945,0.35342,0.76694,0.21449,0.004654,0.004654,0.004654
29,7138.18,0.55513,0.52543,0.23884,0.75463,0.71492,0.76211,0.42981,0.34425,0.78651,0.20865,0.004456,0.004456,0.004456
30,7382.47,0.54559,0.52298,0.23747,0.75563,0.71346,0.7663,0.43248,0.34134,0.8777,0.20482,0.004258,0.004258,0.004258
31,7628.43,0.54617,0.51392,0.23128,0.75312,0.71918,0.76935,0.43402,0.33954,0.83036,0.21372,0.00406,0.00406,0.00406
32,7873.64,0.53423,0.51496,0.2297,0.77106,0.71408,0.76282,0.42754,0.34577,0.84224,0.21741,0.003862,0.003862,0.003862
33,8119.83,0.54818,0.52498,0.23749,0.7509,0.72466,0.76789,0.43088,0.3443,0.93056,0.21548,0.003664,0.003664,0.003664
34,8367.82,0.54441,0.52723,0.23798,0.75452,0.72476,0.76724,0.43268,0.34158,0.91698,0.21366,0.003466,0.003466,0.003466
35,8614.5,0.55015,0.53122,0.24836,0.76419,0.71661,0.7599,0.42998,0.33821,0.86587,0.21079,0.003268,0.003268,0.003268
