epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,250.419,1.0331,1.62237,0.6657,0.49032,0.48073,0.41666,0.19039,0.41799,12.3042,0.24314,0.00199548,0.00199548,0.00199548
2,500.444,0.67073,0.74271,0.34171,0.64097,0.5462,0.58685,0.28365,0.38539,5.08149,0.27022,0.00391636,0.00391636,0.00391636
3,751.512,0.70073,0.685,0.32634,0.65425,0.58424,0.63705,0.30894,0.38366,3.16241,0.23732,0.00575805,0.00575805,0.00575805
4,996.089,0.75008,0.65031,0.32828,0.66891,0.52375,0.57874,0.26394,0.44294,2.67053,0.25307,0.00752054,0.00752054,0.00752054
5,1241.51,0.81289,0.62681,0.34784,0.583,0.44923,0.47695,0.21792,0.45436,2.43996,0.22821,0.00920383,0.00920383,0.00920383
6,1485.41,0.83712,0.62354,0.35489,0.63106,0.52266,0.56274,0.26329,0.41581,3.60914,0.24743,0.00901,0.00901,0.00901
7,1731.78,0.81638,0.62591,0.34535,0.66178,0.59494,0.62736,0.30273,0.43702,3.45883,0.23212,0.008812,0.008812,0.008812
8,1978.68,0.7915,0.6165,0.33378,0.68201,0.56839,0.63421,0.29718,0.39141,1.67711,0.23499,0.008614,0.008614,0.008614
9,2224.89,0.77335,0.61641,0.32662,0.70079,0.60105,0.65049,0.28982,0.41402,1.72201,0.25656,0.008416,0.008416,0.008416
10,2470.02,0.77494,0.60393,0.32534,0.69912,0.60797,0.66309,0.30889,0.42029,1.38076,0.25574,0.008218,0.008218,0.008218
11,2715.93,0.74436,0.61015,0.31259,0.71278,0.62321,0.68541,0.33993,0.38991,2.8185,0.22853,0.00802,0.00802,0.00802
12,2962.54,0.75831,0.60883,0.31415,0.71798,0.59153,0.6577,0.31247,0.41402,2.00967,0.23254,0.007822,0.007822,0.007822
13,3210.27,0.72871,0.60187,0.31277,0.70975,0.62104,0.68042,0.31993,0.41495,1.16461,0.2542,0.007624,0.007624,0.007624
14,3452.53,0.73318,0.59571,0.31028,0.72619,0.6395,0.70305,0.34572,0.39881,2.07226,0.23647,0.007426,0.007426,0.007426
15,3695.84,0.71982,0.60161,0.29627,0.72756,0.62867,0.68582,0.32791,0.41072,1.16208,0.24943,0.007228,0.007228,0.007228
16,3942.58,0.70475,0.59953,0.29953,0.72007,0.63429,0.69687,0.32287,0.40427,1.22264,0.25916,0.00703,0.00703,0.00703
17,4187.39,0.71075,0.58948,0.29661,0.71795,0.67185,0.71918,0.34904,0.37865,1.49619,0.24656,0.006832,0.006832,0.006832
18,4433.44,0.68415,0.605,0.28688,0.72819,0.65793,0.72322,0.3514,0.38743,0.90195,0.23308,0.006634,0.006634,0.006634
19,4679.03,0.69152,0.58947,0.28958,0.741,0.66091,0.73263,0.35908,0.37682,1.1923,0.2399,0.006436,0.006436,0.006436
20,4920.47,0.67532,0.58879,0.28582,0.7423,0.66075,0.73578,0.35138,0.3898,1.1591,0.25672,0.006238,0.006238,0.006238
21,5165.11,0.67129,0.58961,0.28227,0.73899,0.65102,0.72168,0.34332,0.39672,1.00901,0.25176,0.00604,0.00604,0.00604
22,5406.37,0.65781,0.59318,0.28164,0.72028,0.66052,0.72444,0.34771,0.38982,1.60927,0.24567,0.005842,0.005842,0.005842
23,5651.39,0.66071,0.59297,0.28135,0.74241,0.68411,0.74846,0.37709,0.37165,1.48328,0.23613,0.005644,0.005644,0.005644
24,5895.91,0.65431,0.5867,0.27819,0.74023,0.66573,0.72885,0.3561,0.38409,0.87611,0.2479,0.005446,0.005446,0.005446
25,6141.3,0.64522,0.58608,0.27478,0.74657,0.69179,0.74578,0.36535,0.38503,1.07422,0.24858,0.005248,0.005248,0.005248
26,6386.04,0.62982,0.58564,0.27089,0.73809,0.70054,0.75509,0.37927,0.37478,1.07618,0.2441,0.00505,0.00505,0.00505
27,6630.28,0.63088,0.58796,0.27117,0.75571,0.69347,0.76221,0.38187,0.37636,1.0062,0.24161,0.004852,0.004852,0.004852
28,6872.83,0.61384,0.57899,0.26776,0.73861,0.69987,0.75665,0.37485,0.38002,0.93864,0.25057,0.004654,0.004654,0.004654
29,7114.45,0.62485,0.58075,0.2692,0.74806,0.70311,0.75465,0.37686,0.37528,0.9262,0.24039,0.004456,0.004456,0.004456
30,7358.18,0.63402,0.57667,0.27639,0.74434,0.6976,0.75401,0.37329,0.37985,0.7939,0.24216,0.004258,0.004258,0.004258
31,7602.7,0.6076,0.55507,0.29836,0.73334,0.70506,0.76007,0.39253,0.36673,1.05282,0.2344,0.00406,0.00406,0.00406
32,7845.31,0.58333,0.55556,0.29502,0.74468,0.69977,0.75596,0.39362,0.35711,0.83901,0.22325,0.003862,0.003862,0.003862
33,8089.08,0.56503,0.54813,0.28946,0.75977,0.69736,0.76141,0.38718,0.36849,1.08071,0.23999,0.003664,0.003664,0.003664
34,8333.78,0.56483,0.52911,0.28235,0.75823,0.69862,0.76772,0.39736,0.36269,1.13282,0.22643,0.003466,0.003466,0.003466
35,8577.04,0.54494,0.52149,0.27387,0.76375,0.7079,0.77544,0.40242,0.36158,0.94175,0.2269,0.003268,0.003268,0.003268
36,8820.66,0.53156,0.51018,0.27005,0.75022,0.73559,0.78016,0.40479,0.36436,0.81187,0.23378,0.00307,0.00307,0.00307
37,9064.57,0.5093,0.50926,0.26173,0.75241,0.72837,0.78337,0.41252,0.35207,0.80772,0.22764,0.002872,0.002872,0.002872
38,9307.31,0.49929,0.50361,0.2546,0.76218,0.74073,0.78396,0.41063,0.35782,0.77536,0.23415,0.002674,0.002674,0.002674
39,9549.09,0.49833,0.49662,0.25405,0.77759,0.72681,0.78735,0.41707,0.35734,0.71289,0.23511,0.002476,0.002476,0.002476
40,9793.48,0.47362,0.49199,0.24578,0.78216,0.72996,0.78799,0.41827,0.35251,0.74621,0.22555,0.002278,0.002278,0.002278
41,10037.4,0.46993,0.48729,0.24753,0.78683,0.73152,0.7937,0.42229,0.34706,0.69419,0.22722,0.00208,0.00208,0.00208
42,10282.7,0.46524,0.48008,0.24289,0.77698,0.74555,0.79542,0.42256,0.34771,0.63545,0.22863,0.001882,0.001882,0.001882
43,10526.9,0.45317,0.47633,0.23649,0.7881,0.74148,0.79721,0.43054,0.3422,0.668,0.22274,0.001684,0.001684,0.001684
44,10771.4,0.46972,0.46702,0.24056,0.79079,0.74241,0.79826,0.4295,0.34515,0.71456,0.22839,0.001486,0.001486,0.001486
45,11015,0.44569,0.46452,0.23368,0.79708,0.73709,0.79676,0.42704,0.34756,0.69835,0.23271,0.001288,0.001288,0.001288
46,11259.2,0.42957,0.4526,0.22843,0.78787,0.7434,0.79833,0.42733,0.34944,0.66194,0.23322,0.00109,0.00109,0.00109
47,11504.7,0.42341,0.45133,0.21993,0.78974,0.74769,0.79737,0.42964,0.34733,0.64387,0.23523,0.000892,0.000892,0.000892
48,11750.4,0.41514,0.44194,0.21398,0.79121,0.74904,0.79775,0.43181,0.34833,0.63825,0.23539,0.000694,0.000694,0.000694
49,11995.2,0.40842,0.43414,0.21027,0.79761,0.74898,0.79861,0.43321,0.3472,0.64083,0.23501,0.000496,0.000496,0.000496
50,12239.7,0.40491,0.43045,0.20549,0.79008,0.74818,0.79631,0.43282,0.34922,0.63675,0.23525,0.000298,0.000298,0.000298
