epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.6573,1.62238,3.02895,1.5278,0.50396,0.42733,0.40171,0.18463,1.62253,8.50191,1.51484,0.00332579,0.00332579,0.00332579
2,89.3162,1.61706,2.09498,1.49761,0.44813,0.42477,0.36749,0.1625,1.77472,8.76163,1.57875,0.00652727,0.00652727,0.00652727
3,121.693,1.70605,1.94282,1.5479,0.41296,0.37434,0.30725,0.12598,1.90371,13.8473,1.71779,0.00959676,0.00959676,0.00959676
4,154.927,1.78765,1.94704,1.6263,0.45149,0.34966,0.32212,0.13428,1.98482,10.1105,1.85511,0.009406,0.009406,0.009406
5,186.671,1.72519,1.79374,1.58895,0.54857,0.44865,0.46357,0.21311,1.74429,3.22665,1.57113,0.009208,0.009208,0.009208
6,219.073,1.65508,1.68221,1.54345,0.56627,0.48274,0.50515,0.23838,1.70774,4.04248,1.58494,0.00901,0.00901,0.00901
7,251.385,1.63567,1.62756,1.52194,0.60392,0.51713,0.55066,0.27162,1.618,3.94023,1.48714,0.008812,0.008812,0.008812
8,282.964,1.60626,1.56745,1.49895,0.61189,0.51392,0.56231,0.2802,1.5928,2.77702,1.46421,0.008614,0.008614,0.008614
9,315.623,1.57768,1.53008,1.47993,0.59678,0.51708,0.55769,0.2809,1.58965,2.83859,1.47374,0.008416,0.008416,0.008416
10,347.818,1.5569,1.48972,1.46966,0.62365,0.52431,0.57372,0.29523,1.55749,2.01537,1.42798,0.008218,0.008218,0.008218
11,379.661,1.53084,1.44473,1.44828,0.64292,0.55433,0.60275,0.31321,1.52576,1.9957,1.40159,0.00802,0.00802,0.00802
12,411.617,1.53406,1.43056,1.44584,0.65715,0.56783,0.63005,0.33025,1.51846,2.13595,1.40575,0.007822,0.007822,0.007822
13,443.969,1.51714,1.39521,1.43155,0.65996,0.59868,0.64879,0.34505,1.50176,1.93274,1.39927,0.007624,0.007624,0.007624
14,476.088,1.50291,1.36456,1.41986,0.64445,0.58117,0.62428,0.33793,1.47677,2.89402,1.38631,0.007426,0.007426,0.007426
15,507.86,1.48902,1.35188,1.41105,0.66878,0.60455,0.66162,0.35914,1.4929,2.2276,1.3647,0.007228,0.007228,0.007228
16,539.8,1.4797,1.33107,1.4032,0.66542,0.60999,0.65671,0.35236,1.4782,1.8257,1.37225,0.00703,0.00703,0.00703
17,572.633,1.46419,1.3137,1.39857,0.71859,0.61236,0.67945,0.36835,1.45648,1.80482,1.35188,0.006832,0.006832,0.006832
18,604.317,1.45703,1.28978,1.38596,0.70534,0.61863,0.67954,0.36971,1.46701,1.41065,1.35157,0.006634,0.006634,0.006634
19,637.239,1.44345,1.27621,1.3764,0.6952,0.62374,0.68411,0.37783,1.44287,1.99792,1.334,0.006436,0.006436,0.006436
20,668.966,1.43494,1.25772,1.37543,0.71691,0.62521,0.69699,0.38319,1.42682,1.82244,1.32247,0.006238,0.006238,0.006238
21,700.692,1.43034,1.24489,1.37331,0.70908,0.62757,0.69603,0.38383,1.41803,1.72766,1.3166,0.00604,0.00604,0.00604
22,732.254,1.41882,1.22619,1.36304,0.70257,0.65004,0.70549,0.39868,1.39202,1.57614,1.30293,0.005842,0.005842,0.005842
23,765.551,1.41248,1.22529,1.35317,0.72251,0.63843,0.71205,0.40077,1.39595,1.48977,1.3019,0.005644,0.005644,0.005644
24,797.389,1.41056,1.21529,1.35192,0.72331,0.65229,0.72118,0.40586,1.39213,1.41713,1.30213,0.005446,0.005446,0.005446
25,829.6,1.40062,1.19064,1.34824,0.72121,0.65517,0.71905,0.40671,1.40082,1.59406,1.2968,0.005248,0.005248,0.005248
26,863.065,1.38427,1.17246,1.33891,0.72895,0.65128,0.71889,0.40874,1.37866,1.76938,1.2934,0.00505,0.00505,0.00505
27,894.638,1.38515,1.16922,1.33671,0.73892,0.64913,0.71822,0.40969,1.38907,1.57582,1.2933,0.004852,0.004852,0.004852
28,927.274,1.36647,1.13836,1.32214,0.72716,0.65954,0.72945,0.41936,1.39818,1.4933,1.2951,0.004654,0.004654,0.004654
29,958.933,1.36932,1.1389,1.32163,0.75565,0.65946,0.73363,0.41823,1.36983,1.52495,1.27962,0.004456,0.004456,0.004456
30,990.493,1.35665,1.11947,1.31309,0.74984,0.66104,0.73582,0.42042,1.37114,1.56773,1.27849,0.004258,0.004258,0.004258
31,1023.61,1.36136,1.10778,1.31569,0.75771,0.67237,0.74652,0.42214,1.37552,1.43474,1.27849,0.00406,0.00406,0.00406
32,1055.47,1.34824,1.10524,1.30823,0.74817,0.67652,0.74617,0.42536,1.37318,1.31646,1.27903,0.003862,0.003862,0.003862
33,1087.25,1.33964,1.08186,1.30022,0.76559,0.66702,0.74963,0.43231,1.35481,1.44613,1.26094,0.003664,0.003664,0.003664
34,1119.14,1.33251,1.08712,1.2909,0.75525,0.68129,0.74815,0.431,1.36253,1.30514,1.26963,0.003466,0.003466,0.003466
35,1151.35,1.32397,1.07288,1.29001,0.74709,0.67374,0.75169,0.43601,1.35274,1.30382,1.26426,0.003268,0.003268,0.003268
36,1184.61,1.31845,1.05414,1.28421,0.7556,0.68644,0.75716,0.43883,1.35346,1.29132,1.26322,0.00307,0.00307,0.00307
37,1216.33,1.29943,1.05088,1.27736,0.75561,0.67975,0.7547,0.44143,1.34118,1.26143,1.26225,0.002872,0.002872,0.002872
38,1248.18,1.29919,1.03423,1.27775,0.77586,0.67524,0.75879,0.44074,1.35787,1.22544,1.26438,0.002674,0.002674,0.002674
39,1280.21,1.29301,1.02548,1.26681,0.77096,0.68586,0.76281,0.44358,1.34849,1.20528,1.26103,0.002476,0.002476,0.002476
40,1311.97,1.2914,1.01181,1.26357,0.76902,0.67939,0.7619,0.44542,1.36096,1.21317,1.26673,0.002278,0.002278,0.002278
41,1343.86,1.33154,0.98135,1.298,0.77156,0.68383,0.76125,0.44445,1.35984,1.12557,1.26858,0.00208,0.00208,0.00208
42,1374.62,1.31132,0.95237,1.28185,0.7804,0.67944,0.76428,0.44682,1.35477,1.13384,1.26565,0.001882,0.001882,0.001882
43,1405.28,1.28649,0.92589,1.27185,0.78066,0.68113,0.76463,0.44489,1.34806,1.13566,1.26747,0.001684,0.001684,0.001684
44,1435.94,1.28527,0.91281,1.26578,0.78676,0.68393,0.76851,0.44637,1.35423,1.12362,1.27033,0.001486,0.001486,0.001486
45,1466.9,1.27315,0.89135,1.25581,0.77393,0.69794,0.76826,0.44591,1.34719,1.10053,1.26436,0.001288,0.001288,0.001288
46,1499.47,1.24715,0.87421,1.24579,0.77477,0.69761,0.76745,0.449,1.34606,1.09681,1.26636,0.00109,0.00109,0.00109
47,1530.17,1.2451,0.85951,1.24027,0.77406,0.69585,0.76697,0.44983,1.34251,1.08713,1.26517,0.000892,0.000892,0.000892
48,1560.77,1.23288,0.84301,1.23365,0.78481,0.69419,0.76857,0.45038,1.34032,1.09321,1.26475,0.000694,0.000694,0.000694
49,1591.83,1.21956,0.83188,1.22846,0.77979,0.69951,0.76961,0.45114,1.34266,1.08412,1.26622,0.000496,0.000496,0.000496
50,1622.34,1.21193,0.81448,1.21488,0.7815,0.69762,0.77168,0.45115,1.34774,1.08022,1.26923,0.000298,0.000298,0.000298
