epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.0583,1.76434,3.22355,1.65674,0.48197,0.40122,0.37467,0.15529,1.67991,12.723,1.52896,0.00199548,0.00199548,0.00199548
2,92.2934,1.70722,2.33942,1.56419,0.42981,0.40538,0.35259,0.14567,1.84679,10.6415,1.64395,0.00391636,0.00391636,0.00391636
3,126.25,1.74101,2.073,1.58695,0.54552,0.41736,0.43455,0.18815,1.72561,2.23647,1.51518,0.00575805,0.00575805,0.00575805
4,159.631,1.74703,1.95546,1.59392,0.37862,0.39042,0.30553,0.12007,1.93514,13.4501,1.70457,0.00752054,0.00752054,0.00752054
5,192.75,1.82057,2.01076,1.65098,0.38668,0.34338,0.28028,0.10236,2.08373,12.8165,1.9382,0.00920383,0.00920383,0.00920383
6,225.563,1.85528,2.0137,1.68845,0.44461,0.44197,0.40528,0.17061,1.88734,4.69946,1.68155,0.00901,0.00901,0.00901
7,258.389,1.79192,1.90422,1.6567,0.56083,0.48139,0.48597,0.21428,1.77516,3.33701,1.58945,0.008812,0.008812,0.008812
8,291.019,1.76769,1.83943,1.62755,0.58109,0.50714,0.53049,0.2502,1.68247,3.98387,1.52114,0.008614,0.008614,0.008614
9,324.191,1.73346,1.77991,1.60771,0.58868,0.48041,0.51664,0.24216,1.69323,3.04871,1.52292,0.008416,0.008416,0.008416
10,357.184,1.69948,1.71738,1.58061,0.61552,0.51246,0.55963,0.26449,1.68859,3.35184,1.52188,0.008218,0.008218,0.008218
11,389.8,1.67527,1.67007,1.56139,0.64345,0.5409,0.59268,0.29083,1.60315,2.76236,1.45456,0.00802,0.00802,0.00802
12,422.624,1.6684,1.67329,1.55851,0.62928,0.54604,0.58334,0.28497,1.66075,3.57778,1.51285,0.007822,0.007822,0.007822
13,455.52,1.64855,1.61198,1.54034,0.63079,0.57132,0.61261,0.30297,1.61629,2.79135,1.46695,0.007624,0.007624,0.007624
14,488.566,1.63471,1.60886,1.53503,0.65252,0.5595,0.62308,0.31467,1.56091,1.85854,1.42969,0.007426,0.007426,0.007426
15,521.225,1.62333,1.56956,1.51957,0.66367,0.57533,0.6303,0.33173,1.51388,3.25975,1.38963,0.007228,0.007228,0.007228
16,553.99,1.61714,1.55194,1.51533,0.65165,0.58105,0.63842,0.32597,1.51136,2.3611,1.39356,0.00703,0.00703,0.00703
17,586.612,1.60363,1.53094,1.50599,0.68056,0.57845,0.64246,0.33569,1.51823,2.65665,1.38976,0.006832,0.006832,0.006832
18,619.638,1.5942,1.52656,1.50319,0.66913,0.61153,0.65594,0.34008,1.50763,2.72261,1.38118,0.006634,0.006634,0.006634
19,652.405,1.58045,1.47918,1.48734,0.68208,0.59798,0.65979,0.3481,1.49513,2.19155,1.37661,0.006436,0.006436,0.006436
20,685.102,1.57415,1.4663,1.48871,0.70499,0.61171,0.68072,0.3613,1.46842,2.32373,1.35452,0.006238,0.006238,0.006238
21,717.801,1.5612,1.4483,1.47368,0.679,0.61199,0.67305,0.36392,1.44637,2.01426,1.3346,0.00604,0.00604,0.00604
22,750.414,1.55582,1.44827,1.4729,0.70563,0.61489,0.68992,0.37722,1.42753,1.75925,1.32606,0.005842,0.005842,0.005842
23,783.209,1.55294,1.43925,1.46776,0.70022,0.63269,0.69679,0.37777,1.45825,1.88948,1.33029,0.005644,0.005644,0.005644
24,816.112,1.53805,1.40488,1.45559,0.70347,0.63275,0.69199,0.37882,1.45669,1.85194,1.32692,0.005446,0.005446,0.005446
25,848.697,1.52551,1.40087,1.4482,0.72113,0.634,0.70604,0.38802,1.43296,1.5056,1.30914,0.005248,0.005248,0.005248
